대분류,중분류,소분류,사업명,키워드 태그,지원 대상,지원 내용,신청 방법,문의처,출처 URL
공공돌봄,긴급돌봄,분류없음,긴급돌봄지원사업,#긴급돌봄 #갑자기아파요 #몸이아파 #도와줄사람없어요 #혼자있어요 #보호자없음 #당장돌봐줄사람 #퇴원후돌봄 #갑자기쓰러짐 #응급돌봄 #일시돌봄 #단기돌봄 #돌봄공백 #돌봐줄사람없음 #갑작스러운사고 #가족입원 #독거노인 #혼자사는어르신,"갑작스러운 질병·사고로 기존 공적 서비스를 이용할 수 없는 도민. 수급자·차상위·중위소득 160% 이하 우선 지원. 독거노인·장애인·아동 돌봄 공백 가구.","30일간 기본돌봄 최대 72시간 및 방문목욕 4회 지원. 1시간 25,000원(수급자·차상위·중위소득 120%이하 본인부담 면제). 가사지원·식사준비·신변처리 등 일상생활 지원.","경상남도사회서비스원 대표전화 또는 창원·김해 종합재가센터로 유선 신청. 긴급성 확인 후 당일 또는 익일 파견.","통합돌봄사업부 055-230-8216 / 창원종합재가센터 055-230-8530",https://gn.pass.or.kr/sub02/sub03_01.php
공공돌봄,재가돌봄,방문서비스,창원종합재가센터 통합재가서비스,"#방문요양 #방문목욕 #방문간호 #집에서돌봄 #재가서비스 #집에서받는돌봄 #방문요양보호사 #목욕차량 #간호사방문 #요양보호사 #집에서치료 #만성질환관리 #욕창관리 #투약관리 #혼자거동못함 #거동불편 #노인요양 #장기요양등급 #재활돌봄 #창원돌봄","장기요양 1~5등급 및 인지지원등급자. 거동 불편 어르신·장애인. 창원시 거주자 우선.","방문요양(가사지원·신변처리·외출동행), 방문목욕(전문 장비 차량 이용, 요양보호사 2인 자택 방문), 방문간호(간호사 직접 방문·투약지도·욕창관리·만성질환 모니터링). 퇴원 후 재활 연계 돌봄.","장기요양인정서 지참 후 내방 또는 전화 상담. 국민건강보험공단 장기요양등급 취득 필요.","창원종합재가센터 055-230-8530",https://gn.pass.or.kr/sub02/sub02_01.php
공공돌봄,재가돌봄,방문서비스,김해종합재가센터 통합재가서비스,"#방문요양 #방문목욕 #방문간호 #재가서비스 #집에서돌봄 #요양보호사방문 #목욕서비스 #간호사방문 #노인돌봄 #장기요양등급 #거동불편 #김해돌봄 #집에서요양 #재활 #일상생활지원 #장기요양 #노인케어","장기요양 1~5등급 및 인지지원등급자. 거동 불편 어르신·장애인. 김해시 거주자 우선.","방문요양(가사·위생·식사·외출 지원), 방문목욕(자택 방문 목욕 서비스), 방문간호(처치·투약·상태 모니터링). 지역사회 통합돌봄 사례관리 연계.","장기요양인정서 지참 후 내방 또는 전화 상담. 국민건강보험공단 장기요양등급 취득 필요.","김해종합재가센터 055-330-8751",https://gn.pass.or.kr/sub02/sub02_02.php
공공돌봄,통합돌봄,지역사회연계,경상남도 통합돌봄지원센터(경남형 희망나눔),"#통합돌봄 #희망나눔 #퇴원후돌봄 #병원퇴원 #집에서계속살고싶어요 #지역사회돌봄 #밥배달 #이동지원 #병원동행 #집청소 #집수리 #케어매니저 #돌봄계획 #재가복귀 #보건의료연계 #통합서비스 #찾아가는복지 #경남통합돌봄 #주거지원 #복지사각지대","돌봄이 필요한 도민(소득·연령 무관, 서비스 필요도 기준). 장기요양 재가등급자, 퇴원 환자, 고위험 독거 어르신 우선.","식사지원(밥·반찬 배달), 이동동행(병원 동행·외출 지원), 주거지원(낙상방지 설치·집 수리), 가사지원(청소·세탁), 방문간호, 케어안심주택 운영. 개인별 돌봄계획(Care Plan) 수립 후 맞춤 서비스 연계.","읍면동 주민센터 통합돌봄창구 또는 센터 직접 신청. 케어매니저 방문조사 후 서비스 연결.","경상남도 통합돌봄지원센터 055-230-8320",https://gn.pass.or.kr/sub02/sub01_01.php
공공돌봄,노인돌봄,맞춤돌봄,노인맞춤돌봄서비스 광역지원,"#노인맞춤돌봄 #어르신안전 #독거어르신 #혼자사는노인 #안부확인 #말벗 #생활지원 #노인복지 #취약노인 #안전관리 #어르신케어 #생활지원사 #노인지원 #취약계층어르신 #안부전화 #정기방문 #사례관리 #노인사회활동 #일상생활지원","만 65세 이상 독거노인·취약노인(기초생활수급자·차상위계층·기초연금수급자 등 우선). 일상생활에 어려움이 있는 어르신.","안전확인(방문·전화·ICT 활용 안부 확인), 생활교육, 사회참여 프로그램, 일상생활 지원(청소·세탁·식사 등), 연계 서비스(자원 연결·복지 서비스 안내).","읍면동 주민센터 또는 시·군 노인맞춤돌봄 수행기관에 신청.","노인맞춤돌봄 광역지원기관 055-230-8230",https://gn.pass.or.kr/sub02/sub05_01.php
공공돌봄,ICT돌봄,응급안전,응급안전안심서비스,"#응급안전 #혼자살아요 #갑자기쓰러지면 #응급상황 #독거노인안전 #화재감지 #119연결 #안전장치 #홀로어르신 #고독사예방 #안전장비설치 #이상감지 #활동감지 #응급호출기 #낙상감지 #독거장애인 #혼자사는장애인 #24시간모니터링","65세 이상 독거노인 또는 독거 장애인 가구. 기초생활수급자·차상위계층 우선.","댁내 게이트웨이·활동감지센서·화재감지기·출입감지센서·응급호출기 무료 설치. 24시간 활동 모니터링, 응급 상황 시 119 자동 신고 및 보호자 연락.","읍면동 주민센터에 신청. 방문조사 후 장비 설치.","응급안전안심서비스 광역지원기관 055-230-8240",https://gn.pass.or.kr/sub02/sub06_01.php
공공돌봄,ICT돌봄,AI스마트돌봄,AI 온하나케어 스마트 돌봄,"#AI돌봄 #인공지능돌봄 #AI스피커 #스마트돌봄 #말벗서비스 #AI말벗 #혼자있을때 #외로운어르신 #건강체크 #AI건강관리 #비대면돌봄 #ICT돌봄 #스마트안부확인 #원격돌봄 #어르신AI #정서지원 #AI안부","독거노인·고령자·장애인 가구. 디지털 소외 우려 어르신 포함.","AI 스피커(아리아 등) 설치를 통한 24시간 말벗 서비스, 정서케어, 응급 구조 연계. 건강 정보 제공 및 안부 확인. 창원(620대)·김해(300대)·고성(420대) 등 확대 중.","읍면동 주민센터 또는 통합돌봄지원센터 신청.","경상남도 통합돌봄지원센터 055-230-8320",http://gnai.pass.or.kr/
공공돌봄,장애인돌봄,긴급돌봄,경남발달장애인긴급돌봄센터,"#발달장애인돌봄 #장애아이긴급돌봄 #지적장애 #자폐 #발달장애 #부모입원 #보호자없음 #장애인단기돌봄 #가족긴급상황 #장애인24시간돌봄 #발달장애인가정 #돌봄부담 #장애자녀 #긴급보호","발달장애인(지적장애·자폐성 장애) 당사자. 주 보호자의 입원·경조사 등 긴급 상황 발생 시.","최대 7일 24시간 긴급 돌봄 제공. 일상생활 지원·안전 관리·정서 지원. 2024년 실적 154명.","경남발달장애인긴급돌봄센터 사전 등록 후 긴급 신청. 사회서비스원 본부로 문의.","발달장애인긴급돌봄센터 055-230-8216",https://gn.pass.or.kr/sub02/sub04_01.php
공공돌봄,통합돌봄,병원동행,일상돌봄 병원동행서비스(바우처),"#병원동행 #혼자병원못가요 #병원가는길 #외출지원 #이동지원 #혼자외출 #1인가구 #중장년1인가구 #병원동행서비스 #바우처 #동행서비스 #진료동행 #대형병원동행 #부산동행 #대구동행 #원거리병원","중장년 1인 가구(만 40세 이상). 혼자 병원 방문이 어려운 도민. 창원·김해·거제 등 일부 시군 거주자.","관내외 병원 동행 지원(대중교통·차량 이용 동행), 진료 접수·수납 보조, 대형병원(부산·대구 원정 진료 포함) 동행 서비스. 바우처 이용권 지급.","경남지역사회서비스지원단 또는 읍면동 주민센터에 신청. 자격 확인 후 서비스 이용권 발급.","경남지역사회서비스지원단 055-260-0900",http://gnssc.or.kr/sub/policy/
공공돌봄,보건의료,퇴원연계,퇴원환자 지역사회 연계서비스,"#퇴원 #퇴원후집에서 #병원에서집으로 #퇴원후돌봄 #재입원예방 #수술후돌봄 #뇌졸중퇴원 #골절퇴원 #재활돌봄 #퇴원하는데돌봐줄사람없어요 #퇴원연계 #퇴원후케어 #병원퇴원연락 #케어매니저연결 #홀로퇴원","병원 퇴원 후 가정 복귀하는 도민. 돌봄 공백 우려 퇴원 환자. 독거 또는 돌봄 제공자가 없는 가구.","케어매니저 병원·가정 방문 후 돌봄계획 수립. 식사·주거환경 개선·방문간호 등 필요 서비스 연계. 퇴원 후 1~3개월 집중 모니터링.","병원 사회사업실 또는 읍면동 통합돌봄창구에 의뢰. 통합돌봄지원센터로 직접 문의 가능.","경상남도 통합돌봄지원센터 055-230-8320",https://gn.pass.or.kr/sub02/sub01_02.php
